Sample.Name,Sample ID,Project ID,Illumina ID,Experiment Type
221014Esv_D22-10169,D22-10169,221014Esv,1 IL,P1
221014Esv_D22-10170,D22-10170,221014Esv,2 IL,P2
221014Esv_D22-10171,D22-10171,221014Esv,3 IL,P3
221014Esv_D22-10172,D22-10172,221014Esv,4 IL,P-C
221014Esv_D22-10173,D22-10173,221014Esv,5 IL,CU1
221014Esv_D22-10174,D22-10174,221014Esv,6 IL,CU2
221014Esv_D22-10175,D22-10175,221014Esv,7 IL,CF
221014Esv_D22-10176,D22-10176,221014Esv,8 IL,CU-C
221014Esv_D22-10177,D22-10177,221014Esv,9 IL,A1
221014Esv_D22-10178,D22-10178,221014Esv,10 IL,A2
221014Esv_D22-10179,D22-10179,221014Esv,11 IL,A3
221014Esv_D22-10180,D22-10180,221014Esv,12 IL,A-C
221014Esv_D22-10330,D22-10330,221014Esv,1 IL,P1
221014Esv_D22-10331,D22-10331,221014Esv,3 IL,P3
221014Esv_D22-10332,D22-10332,221014Esv,5 IL,CU1
221014Esv_D22-10333,D22-10333,221014Esv,6 IL,CU2
221014Esv_D22-10334,D22-10334,221014Esv,9 IL,A1
221014Esv_D22-10335,D22-10335,221014Esv,10 IL,A2
221014Esv_D22-10336,D22-10336,221014Esv,11 IL,A3